run_id,master_seed,sequence,stage,event,farmer_id,plot_id,crop_before,crop_after,participation_response,commitment_state,lock_level,allocation_status,reason,planned_cash,current_cash,consent_exists,requires_renewed_consent,consent_basis,counterfactual,source_phase
p6_dev,20260812,1,stage0_instance,instance_built,,,,,,,,,,,,,,,False,
p6_dev,20260812,2,stage1_static_plan,planned_offer,F0001,F0001-P03,,onion,,,,PLANNED,,258775.0,258775.0,False,,,False,B3
p6_dev,20260812,3,stage1_static_plan,planned_offer,F0003,F0003-P01,,rice,,,,PLANNED,,476.0,476.0,False,,,False,B3
p6_dev,20260812,4,stage1_static_plan,planned_offer,F0004,F0004-P01,,maize,,,,PLANNED,,4873.0,4873.0,False,,,False,B3
p6_dev,20260812,5,stage1_static_plan,planned_offer,F0005,F0005-P01,,soybean,,,,PLANNED,,3669.0,3669.0,False,,,False,B3
p6_dev,20260812,6,stage1_static_plan,planned_offer,F0005,F0005-P02,,onion,,,,PLANNED,,17844.0,17844.0,False,,,False,B3
p6_dev,20260812,7,stage1_static_plan,planned_offer,F0006,F0006-P01,,maize,,,,PLANNED,,18705.0,18705.0,False,,,False,B3
p6_dev,20260812,8,stage1_static_plan,planned_offer,F0007,F0007-P02,,maize,,,,PLANNED,,54285.0,54285.0,False,,,False,B3
p6_dev,20260812,9,stage1_static_plan,planned_offer,F0010,F0010-P01,,soybean,,,,PLANNED,,5025.0,5025.0,False,,,False,B3
p6_dev,20260812,10,stage1_static_plan,planned_offer,F0012,F0012-P02,,maize,,,,PLANNED,,6540.0,6540.0,False,,,False,B3
p6_dev,20260812,11,stage1_static_plan,planned_offer,F0013,F0013-P01,,maize,,,,PLANNED,,12695.0,12695.0,False,,,False,B3
p6_dev,20260812,12,stage1_static_plan,planned_offer,F0015,F0015-P02,,soybean,,,,PLANNED,,935.0,935.0,False,,,False,B3
p6_dev,20260812,13,stage1_static_plan,planned_offer,F0017,F0017-P02,,onion,,,,PLANNED,,305486.0,305486.0,False,,,False,B3
p6_dev,20260812,14,stage1_static_plan,planned_offer,F0017,F0017-P03,,onion,,,,PLANNED,,460890.0,460890.0,False,,,False,B3
p6_dev,20260812,15,stage1_static_plan,planned_offer,F0017,F0017-P05,,onion,,,,PLANNED,,425966.0,425966.0,False,,,False,B3
p6_dev,20260812,16,stage1_static_plan,planned_offer,F0018,F0018-P02,,onion,,,,PLANNED,,22720.0,22720.0,False,,,False,B3
p6_dev,20260812,17,stage1_static_plan,planned_offer,F0019,F0019-P01,,rice,,,,PLANNED,,5030.0,5030.0,False,,,False,B3
