run_id,master_seed,instance_hash,farmer_id,plot_id,crop,prev_state,new_state,event,sequence,lock_level,can_change_crop,status,reason
p2_dev,20260812,5ea24037c2d9cb6a,F0005,F0005-P02,onion,TENTATIVE_ACCEPT,CONFIRMED,COMMIT_ADVANCE,2,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0005,F0005-P02,onion,CONFIRMED,INPUTS_PURCHASED,COMMIT_ADVANCE,3,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0005,F0005-P02,onion,INPUTS_PURCHASED,LAND_PREPARED,COMMIT_ADVANCE,4,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0005,F0005-P02,onion,LAND_PREPARED,PLANTED,COMMIT_ADVANCE,5,HARD_LOCK,False,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0005,F0005-P02,onion,PLANTED,PLANTED,MODIFY,5,HARD_LOCK,False,BLOCKED,hard-locked (PLANTED); crop immutable
p2_dev,20260812,5ea24037c2d9cb6a,F0006,F0006-P01,maize,,VIEWED,ACCEPT,0,FLEXIBLE,True,OK,phase-1 accepted; entered lifecycle
p2_dev,20260812,5ea24037c2d9cb6a,F0006,F0006-P01,maize,VIEWED,TENTATIVE_ACCEPT,ACCEPT,1,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0006,F0006-P01,maize,TENTATIVE_ACCEPT,CONFIRMED,COMMIT_ADVANCE,2,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0006,F0006-P01,maize,CONFIRMED,INPUTS_PURCHASED,COMMIT_ADVANCE,3,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0006,F0006-P01,maize,INPUTS_PURCHASED,LAND_PREPARED,COMMIT_ADVANCE,4,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0006,F0006-P01,maize,LAND_PREPARED,PLANTED,COMMIT_ADVANCE,5,HARD_LOCK,False,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0007,F0007-P02,maize,,VIEWED,ACCEPT,0,FLEXIBLE,True,OK,phase-1 accepted; entered lifecycle
p2_dev,20260812,5ea24037c2d9cb6a,F0007,F0007-P02,maize,VIEWED,TENTATIVE_ACCEPT,ACCEPT,1,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0007,F0007-P02,maize,TENTATIVE_ACCEPT,CONFIRMED,COMMIT_ADVANCE,2,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0007,F0007-P02,maize,CONFIRMED,INPUTS_PURCHASED,COMMIT_ADVANCE,3,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0007,F0007-P02,maize,INPUTS_PURCHASED,LAND_PREPARED,COMMIT_ADVANCE,4,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0007,F0007-P02,maize,LAND_PREPARED,PLANTED,COMMIT_ADVANCE,5,HARD_LOCK,False,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0010,F0010-P01,soybean,,VIEWED,ACCEPT,0,FLEXIBLE,True,OK,phase-1 accepted; entered lifecycle
p2_dev,20260812,5ea24037c2d9cb6a,F0010,F0010-P01,soybean,VIEWED,TENTATIVE_ACCEPT,ACCEPT,1,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0010,F0010-P01,soybean,TENTATIVE_ACCEPT,CONFIRMED,COMMIT_ADVANCE,2,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0010,F0010-P01,soybean,CONFIRMED,INPUTS_PURCHASED,COMMIT_ADVANCE,3,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0010,F0010-P01,soybean,INPUTS_PURCHASED,LAND_PREPARED,COMMIT_ADVANCE,4,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0010,F0010-P01,soybean,LAND_PREPARED,PLANTED,COMMIT_ADVANCE,5,HARD_LOCK,False,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0012,F0012-P02,maize,,VIEWED,ACCEPT,0,FLEXIBLE,True,OK,phase-1 accepted; entered lifecycle
p2_dev,20260812,5ea24037c2d9cb6a,F0012,F0012-P02,maize,VIEWED,TENTATIVE_ACCEPT,ACCEPT,1,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0012,F0012-P02,maize,TENTATIVE_ACCEPT,CONFIRMED,COMMIT_ADVANCE,2,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0012,F0012-P02,maize,CONFIRMED,INPUTS_PURCHASED,COMMIT_ADVANCE,3,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0012,F0012-P02,maize,INPUTS_PURCHASED,LAND_PREPARED,COMMIT_ADVANCE,4,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0012,F0012-P02,maize,LAND_PREPARED,PLANTED,COMMIT_ADVANCE,5,HARD_LOCK,False,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0013,F0013-P01,maize,,VIEWED,ACCEPT,0,FLEXIBLE,True,OK,phase-1 accepted; entered lifecycle
p2_dev,20260812,5ea24037c2d9cb6a,F0013,F0013-P01,maize,VIEWED,TENTATIVE_ACCEPT,ACCEPT,1,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0013,F0013-P01,maize,TENTATIVE_ACCEPT,CONFIRMED,COMMIT_ADVANCE,2,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0013,F0013-P01,maize,CONFIRMED,INPUTS_PURCHASED,COMMIT_ADVANCE,3,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0013,F0013-P01,maize,INPUTS_PURCHASED,LAND_PREPARED,COMMIT_ADVANCE,4,SOFT_LOCK,True,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0013,F0013-P01,maize,LAND_PREPARED,PLANTED,COMMIT_ADVANCE,5,HARD_LOCK,False,OK,
p2_dev,20260812,5ea24037c2d9cb6a,F0015,F0015-P02,soybean,,VIEWED,ACCEPT,0,FLEXIBLE,True,OK,phase-1 accepted; entered lifecycle
p2_dev,20260812,5ea24037c2d9cb6a,F0015,F0015-P02,soybean,VIEWED,TENTATIVE_ACCEPT,ACCEPT,1,SOFT_LOCK,True,OK,
