farmer_id,plot_id,crop,area_ha,net_return_c2,budget_cost_a2fl,labour_pd
F0268,F0268-P01,rice,0.553,-6713.0,30863.0,44.2
F0269,F0269-P02,maize,1.008,17403.0,63136.0,56.4
F0275,F0275-P01,rice,0.284,-3448.0,15850.0,22.7
F0277,F0277-P01,rice,0.224,-2719.0,12501.0,17.9
F0278,F0278-P01,maize,0.475,8201.0,29752.0,26.6
F0279,F0279-P02,groundnut,0.275,18334.0,28323.0,47.6
F0280,F0280-P01,onion,0.201,21374.0,14166.0,21.8
F0281,F0281-P01,groundnut,0.309,20601.0,31825.0,53.5
F0282,F0282-P01,groundnut,0.117,7800.0,12050.0,20.2
F0284,F0284-P01,rice,0.297,-3606.0,16576.0,23.7
F0285,F0285-P01,maize,0.418,164.0,20003.0,22.2
F0286,F0286-P02,onion,0.15,15951.0,10572.0,16.2
F0288,F0288-P03,maize,4.304,74308.0,269581.0,241.0
F0290,F0290-P02,maize,0.021,363.0,1315.0,1.2
F0291,F0291-P01,soybean,1.324,-13795.0,71121.0,73.6
F0293,F0293-P01,groundnut,1.308,87204.0,134716.0,226.3
F0294,F0294-P01,rice,0.701,-8510.0,39123.0,56.0
F0296,F0296-P01,cotton,0.475,5369.0,27600.0,45.1
F0297,F0297-P02,rice,0.568,-6895.0,31700.0,45.4
F0299,F0299-P01,soybean,0.374,-3897.0,20090.0,20.8
F0300,F0300-P02,maize,0.347,5991.0,21734.0,19.4
F0304,F0304-P01,onion,0.193,4832.0,30822.0,33.2
F0305,F0305-P01,rice,0.395,-4795.0,22045.0,31.6
F0309,F0309-P01,onion,0.64,68056.0,45107.0,69.3
F0313,F0313-P01,maize,0.802,315.0,38378.0,42.5
F0314,F0314-P01,maize,0.794,13708.0,49732.0,44.5
F0316,F0316-P01,groundnut,0.294,19601.0,30280.0,50.9
F0317,F0317-P01,soybean,1.849,-19265.0,99323.0,102.8
F0318,F0318-P01,rice,0.575,-6980.0,32091.0,45.9
F0319,F0319-P01,rice,0.132,-1602.0,7367.0,10.5
F0321,F0321-P01,soybean,0.401,-4178.0,21541.0,22.3
F0322,F0322-P01,groundnut,0.215,14334.0,22144.0,37.2
F0323,F0323-P01,pigeon_pea,0.429,11645.0,13464.0,13.3
F0328,F0328-P02,onion,2.736,68498.0,436936.0,470.3
F0329,F0329-P01,maize,0.481,8304.0,30127.0,26.9
F0330,F0330-P01,groundnut,1.144,76270.0,117825.0,197.9
F0334,F0334-P02,maize,0.271,4679.0,16974.0,15.2
F0336,F0336-P02,groundnut,1.533,102205.0,157890.0,265.2
F0337,F0337-P02,groundnut,0.149,9934.0,15346.0,25.8
F0339,F0339-P01,onion,0.132,3305.0,21080.0,22.7
F0340,F0340-P01,rice,0.557,-6762.0,31086.0,44.5
F0341,F0341-P02,groundnut,0.434,28935.0,44699.0,75.1
F0342,F0342-P01,pigeon_pea,0.535,14522.0,16790.0,16.6
F0345,F0345-P01,soybean,5.774,-60159.0,310162.0,321.0
F0346,F0346-P01,maize,0.75,12949.0,46976.0,42.0
F0348,F0348-P01,rice,0.382,-4637.0,21319.0,30.5
F0350,F0350-P02,rice,0.26,-3156.0,14511.0,20.8
F0351,F0351-P01,groundnut,0.363,24201.0,37387.0,62.8
F0352,F0352-P01,soybean,0.31,-3230.0,16652.0,17.2
F0354,F0354-P01,onion,7.071,751911.0,498364.0,765.8
F0355,F0355-P01,rice,1.041,-12637.0,58098.0,83.2
F0356,F0356-P01,maize,0.95,16402.0,59503.0,53.2
F0358,F0358-P01,maize,0.219,86.0,10480.0,11.6
F0359,F0359-P01,pigeon_pea,0.942,25570.0,29564.0,29.2
F0362,F0362-P01,soybean,0.595,-6199.0,31962.0,33.1
F0363,F0363-P01,rice,1.026,-12455.0,57261.0,82.0
F0365,F0365-P02,soybean,0.453,-4720.0,24334.0,25.2
F0366,F0366-P02,maize,0.223,3850.0,13968.0,12.5
F0367,F0367-P01,onion,0.276,29349.0,19452.0,29.9
F0368,F0368-P01,pigeon_pea,0.366,9935.0,11487.0,11.3
F0370,F0370-P01,maize,0.764,300.0,36560.0,40.5
F0371,F0371-P01,maize,0.209,3608.0,13091.0,11.7
F0372,F0372-P01,soybean,3.343,-34830.0,179576.0,185.9
F0374,F0374-P01,maize,1.184,20441.0,74160.0,66.3
F0375,F0375-P02,maize,0.841,14520.0,52676.0,47.1
F0376,F0376-P02,maize,0.71,12258.0,44471.0,39.8
F0377,F0377-P01,rice,0.267,-3241.0,14901.0,21.3
F0378,F0378-P02,groundnut,0.465,18637.0,31618.0,16.5
F0379,F0379-P01,maize,0.069,27.0,3302.0,3.7
F0381,F0381-P01,pigeon_pea,0.239,6488.0,7501.0,7.4
F0382,F0382-P01,soybean,0.497,-5178.0,26697.0,27.6
F0387,F0387-P01,groundnut,0.269,17934.0,27705.0,46.5
F0388,F0388-P01,maize,0.668,11533.0,41840.0,37.4
F0392,F0392-P01,maize,0.463,7994.0,29000.0,25.9
F0394,F0394-P01,groundnut,0.087,5800.0,8960.0,15.1
F0398,F0398-P01,onion,0.946,100595.0,66674.0,102.5
F0399,F0399-P02,maize,0.198,3418.0,12402.0,11.1
F0400,F0400-P01,rice,0.289,-3508.0,16129.0,23.1
F0403,F0403-P01,soybean,0.458,-4772.0,24602.0,25.5
F0404,F0404-P02,groundnut,0.206,13734.0,21217.0,35.6
F0405,F0405-P01,maize,0.092,1588.0,5762.0,5.2
F0406,F0406-P01,groundnut,0.216,14401.0,22247.0,37.4
F0408,F0408-P01,soybean,1.228,-12794.0,65964.0,68.3
F0412,F0412-P02,soybean,0.122,-1271.0,6553.0,6.8
F0413,F0413-P02,groundnut,0.612,40802.0,63032.0,105.9
F0414,F0414-P01,soybean,1.171,-12201.0,62903.0,65.1
F0415,F0415-P01,maize,0.096,1657.0,6013.0,5.4
F0417,F0417-P02,soybean,2.506,-26110.0,134615.0,139.3
F0418,F0418-P01,rice,0.382,-4637.0,21319.0,30.5
F0420,F0420-P01,soybean,0.908,-9460.0,48775.0,50.5
F0423,F0423-P01,pigeon_pea,1.727,46878.0,54200.0,53.5
F0424,F0424-P02,maize,0.044,760.0,2756.0,2.5
F0425,F0425-P01,onion,0.282,29987.0,19875.0,30.5
F0427,F0427-P01,groundnut,0.513,20561.0,34882.0,18.2
F0428,F0428-P01,maize,0.546,9427.0,34199.0,30.6
F0430,F0430-P01,maize,1.762,30421.0,110363.0,98.7
F0431,F0431-P01,maize,0.374,6457.0,23425.0,20.9
F0433,F0433-P01,maize,0.621,244.0,29717.0,32.9
F0435,F0435-P01,rice,0.636,-7721.0,35495.0,50.8
F0436,F0436-P01,pigeon_pea,0.977,26520.0,30662.0,30.3
F0438,F0438-P01,maize,0.121,2089.0,7579.0,6.8
F0440,F0440-P01,maize,0.435,171.0,20816.0,23.1
F0443,F0443-P01,onion,0.043,4573.0,3031.0,4.7
F0445,F0445-P01,rice,0.144,-1748.0,8037.0,11.5
F0448,F0448-P01,maize,1.367,23601.0,85622.0,76.6
F0451,F0451-P01,maize,0.418,164.0,20003.0,22.2
F0453,F0453-P01,onion,3.85,409398.0,271348.0,417.0
F0459,F0459-P01,maize,0.457,180.0,21869.0,24.2
F0460,F0460-P01,groundnut,0.536,35735.0,55205.0,92.7
F0465,F0465-P01,soybean,0.416,-4334.0,22346.0,23.1
F0470,F0470-P01,maize,1.896,745.0,90729.0,100.5
F0471,F0471-P01,soybean,0.401,-4178.0,21541.0,22.3
F0472,F0472-P01,groundnut,1.652,110138.0,170146.0,285.8
F0478,F0478-P01,maize,0.966,16678.0,60505.0,54.1
F0479,F0479-P01,rice,0.358,-4346.0,19980.0,28.6
F0481,F0481-P02,groundnut,0.073,4867.0,7519.0,12.6
F0483,F0483-P02,soybean,0.288,-3001.0,15470.0,16.0
F0484,F0484-P01,soybean,1.054,-10981.0,56618.0,58.6
F0486,F0486-P01,rice,0.389,-4722.0,21710.0,31.1
F0488,F0488-P02,rice,0.406,-4929.0,22659.0,32.4
F0489,F0489-P01,rice,0.434,-5269.0,24222.0,34.7
F0490,F0490-P01,maize,0.236,4074.0,14782.0,13.2
F0491,F0491-P01,maize,0.629,247.0,30100.0,33.3
F0492,F0492-P01,onion,0.292,31050.0,20580.0,31.6
F0493,F0493-P01,rice,0.37,-4492.0,20650.0,29.6
F0496,F0496-P01,maize,2.629,1033.0,125806.0,139.3
F0497,F0497-P01,onion,0.037,3934.0,2608.0,4.0
F0499,F0499-P02,onion,0.046,1152.0,7346.0,7.9
F0131,F0131-P02,rice,0.772,-9372.0,43085.0,61.7
F0445,F0445-P02,groundnut,0.367,24468.0,37799.0,63.5
F0025,F0025-P02,maize,0.25,98.0,11963.0,13.2
F0090,F0090-P02,rice,3.329,-40413.0,185791.0,266.0
F0379,F0379-P02,pigeon_pea,0.353,9582.0,11079.0,10.9
F0220,F0220-P02,maize,0.538,211.0,25745.0,28.5
F0072,F0072-P02,onion,0.211,22437.0,14871.0,22.9
F0169,F0169-P02,soybean,0.025,-260.0,1343.0,1.4
F0486,F0486-P02,groundnut,0.041,2733.0,4223.0,7.1
F0365,F0365-P03,onion,0.049,1227.0,7825.0,8.4
F0035,F0035-P02,rice,0.249,-3023.0,13897.0,19.9
F0247,F0247-P02,rice,0.124,-1505.0,6920.0,9.9
F0405,F0405-P02,maize,1.691,29195.0,105916.0,94.7
F0415,F0415-P02,maize,1.127,19457.0,70590.0,63.1
F0005,F0005-P02,onion,0.239,5984.0,38168.0,41.1
F0318,F0318-P02,groundnut,2.307,153807.0,237607.0,399.1
F0077,F0077-P02,maize,0.104,1796.0,6514.0,5.8
F0438,F0438-P02,maize,0.71,12258.0,44471.0,39.8
F0358,F0358-P02,pigeon_pea,0.111,3013.0,3484.0,3.4
F0200,F0200-P02,pigeon_pea,0.365,9908.0,11455.0,11.3
F0294,F0294-P03,groundnut,0.088,5867.0,9063.0,15.2
F0004,F0004-P02,maize,0.364,6284.0,22799.0,20.4
F0108,F0108-P02,groundnut,0.255,17001.0,26263.0,44.1
F0202,F0202-P03,maize,1.465,25293.0,91760.0,82.0
F0443,F0443-P02,pigeon_pea,0.239,6488.0,7501.0,7.4
F0262,F0262-P02,rice,0.066,-801.0,3683.0,5.3
F0031,F0031-P02,maize,0.524,206.0,25075.0,27.8
F0188,F0188-P02,pigeon_pea,3.769,102307.0,118286.0,116.8
F0371,F0371-P03,maize,1.523,26294.0,95393.0,85.3
F0355,F0355-P02,rice,0.511,-6203.0,28519.0,40.8
F0147,F0147-P02,pigeon_pea,0.239,6488.0,7501.0,7.4
F0064,F0064-P02,rice,2.003,-24316.0,111787.0,160.0
F0408,F0408-P02,soybean,1.023,-10659.0,54952.0,56.9
F0291,F0291-P02,soybean,0.606,-6314.0,32553.0,33.7
F0451,F0451-P02,onion,0.156,16589.0,10995.0,16.9
F0150,F0150-P03,onion,0.738,78477.0,52014.0,79.9
F0459,F0459-P02,maize,0.326,128.0,15600.0,17.3
F0222,F0222-P02,rice,0.579,-7029.0,32314.0,46.3
F0156,F0156-P02,onion,1.288,136962.0,90778.0,139.5
F0074,F0074-P02,rice,1.86,-22580.0,103807.0,148.6
F0317,F0317-P02,soybean,1.642,-17108.0,88203.0,91.3
F0145,F0145-P02,sorghum,0.835,4539.0,26412.0,43.4
F0080,F0080-P02,soybean,1.809,-18848.0,97174.0,100.6
F0431,F0431-P02,maize,1.05,18128.0,65767.0,58.8
F0141,F0141-P02,sorghum,0.123,669.0,3891.0,6.4
F0050,F0050-P02,maize,0.052,20.0,2488.0,2.8
F0428,F0428-P02,maize,1.685,29091.0,105540.0,94.4
F0030,F0030-P02,maize,0.268,4627.0,16786.0,15.0
F0158,F0158-P02,rice,3.487,-42331.0,194609.0,278.6
F0372,F0372-P03,soybean,0.674,-7022.0,36205.0,37.5
F0110,F0110-P02,maize,0.201,79.0,9618.0,10.7
F0388,F0388-P02,maize,0.156,2693.0,9771.0,8.7
F0078,F0078-P02,maize,0.904,355.0,43259.0,47.9
F0082,F0082-P02,soybean,0.245,-416.0,9553.0,9.6
F0280,F0280-P02,maize,0.735,289.0,35172.0,39.0
F0211,F0211-P02,rice,0.119,-1445.0,6641.0,9.5
F0375,F0375-P03,maize,0.322,5559.0,20168.0,18.0
F0128,F0128-P02,rice,2.466,-29937.0,137627.0,197.0
F0017,F0017-P02,onion,2.353,250212.0,165839.0,254.8
F0387,F0387-P02,rice,0.239,-2901.0,13339.0,19.1
F0356,F0356-P02,maize,0.079,1364.0,4948.0,4.4
F0478,F0478-P03,maize,1.245,21495.0,77981.0,69.7
F0018,F0018-P02,pigeon_pea,0.175,4750.0,5492.0,5.4
F0020,F0020-P02,maize,0.541,213.0,25888.0,28.7
F0115,F0115-P03,maize,1.738,30006.0,108860.0,97.3
F0126,F0126-P02,maize,5.549,2181.0,265536.0,294.1
F0367,F0367-P02,pigeon_pea,0.782,21227.0,24542.0,24.2
F0425,F0425-P02,sorghum,0.221,1201.0,6990.0,11.5
F0492,F0492-P02,maize,0.742,292.0,35507.0,39.3
F0374,F0374-P04,maize,1.244,21477.0,77918.0,69.7
F0234,F0234-P02,maize,0.588,231.0,28138.0,31.2
F0212,F0212-P02,maize,0.058,23.0,2775.0,3.1
F0242,F0242-P02,groundnut,0.166,11067.0,17097.0,28.7
F0496,F0496-P02,onion,0.21,22331.0,14801.0,22.7
F0194,F0194-P02,sorghum,0.169,919.0,5346.0,8.8
F0129,F0129-P02,pigeon_pea,1.332,36156.0,41803.0,41.3
F0084,F0084-P02,maize,2.692,46477.0,168613.0,150.8
F0178,F0178-P02,onion,0.353,37537.0,24879.0,38.2
F0138,F0138-P02,rice,0.725,-8801.0,40462.0,57.9
F0179,F0179-P02,pigeon_pea,0.466,12649.0,14625.0,14.4
F0027,F0027-P03,maize,0.786,13570.0,49231.0,44.0
F0309,F0309-P03,onion,0.057,6061.0,4017.0,6.2
F0193,F0193-P02,maize,1.371,539.0,65606.0,72.7
F0068,F0068-P02,sorghum,0.722,3925.0,22838.0,37.5
F0038,F0038-P02,pigeon_pea,3.141,85260.0,98577.0,97.4
F0398,F0398-P02,sorghum,0.422,2294.0,13348.0,21.9
F0205,F0205-P02,maize,0.497,195.0,23783.0,26.3
F0181,F0181-P02,pigeon_pea,1.579,42861.0,49555.0,48.9
F0245,F0245-P02,maize,1.287,506.0,61587.0,68.2
F0328,F0328-P04,soybean,2.257,-23515.0,121239.0,125.5
F0453,F0453-P02,maize,0.86,338.0,41154.0,45.6
F0354,F0354-P02,maize,2.105,827.0,100731.0,111.6
F0222,F0222-P03,rice,0.785,-9530.0,43811.0,62.7
F0031,F0031-P03,maize,0.85,334.0,40675.0,45.0
F0050,F0050-P03,onion,0.173,18396.0,12193.0,18.7
F0110,F0110-P03,sorghum,0.185,1006.0,5852.0,9.6
F0078,F0078-P03,maize,3.58,1407.0,171314.0,189.7
F0496,F0496-P03,onion,0.885,94108.0,62375.0,95.8
F0068,F0068-P03,onion,0.125,13292.0,8810.0,13.5
F0398,F0398-P03,maize,0.727,286.0,34789.0,38.5
F0188,F0188-P03,onion,0.247,26265.0,17409.0,26.8
F0156,F0156-P03,maize,1.67,656.0,79915.0,88.5
F0245,F0245-P03,rice,1.163,-19985.0,82789.0,84.6
F0318,F0318-P03,groundnut,2.726,181741.0,280762.0,471.6
F0017,F0017-P03,onion,3.55,377497.0,250204.0,384.5
F0222,F0222-P04,rice,2.581,-31333.0,144046.0,206.2
F0188,F0188-P04,maize,0.806,317.0,38570.0,42.7
F0017,F0017-P04,onion,1.543,164078.0,108751.0,167.1
F0017,F0017-P05,pigeon_pea,3.281,89061.0,102971.0,101.7
