seed,epsilon,status,optimal,runtime_s,cash,area,cash_per_allocated_ha,min_normalized_return
637394,0.9,Optimal,True,0.15,12216692.0,305.897,39937.2730036581,273.2
637394,0.95,Optimal,True,0.28,12885185.0,306.757,42004.53453384927,273.2
637394,1.0,Optimal,True,1.81,13559534.0,311.897,43474.39699644434,0.0
651976,0.8,Optimal,True,0.12,12376703.0,290.293,42635.20994305753,391.7
651976,0.9,Optimal,True,0.18,13706358.0,320.744,42733.01449130771,391.7
651976,0.95,Optimal,True,0.19,14283115.0,332.533,42952.47388980943,391.7
651976,1.0,Optimal,True,2.91,15024792.0,332.837,45141.59183023522,0.0
65693,0.8,Optimal,True,0.14,10040252.0,272.685,36819.96442781964,573.9
65693,0.9,Optimal,True,0.22,10861023.0,286.568,37900.33430110829,573.9
65693,0.95,Optimal,True,0.2,11317399.0,295.431,38308.095629774805,573.9
65693,1.0,Optimal,True,0.23,11907597.0,303.856,39188.289847822656,573.9
679242,0.8,Optimal,True,0.14,11130304.0,304.957,36497.94561200432,276.3
679242,0.9,Optimal,True,0.14,12481173.0,312.864,39893.285900583,276.3
679242,0.95,Optimal,True,0.16,13159072.0,326.561,40295.907962065285,276.3
679242,1.0,Optimal,True,0.21,13849239.0,333.417,41537.29113992388,276.3
720982,0.8,Optimal,True,0.16,10252237.0,317.559,32284.51090978369,320.3
720982,0.9,Optimal,True,0.19,11562150.0,332.13,34812.121759551985,320.3
720982,0.95,Optimal,True,0.18,12139025.0,344.097,35277.91582024836,320.3
720982,1.0,Optimal,True,0.34,12773141.0,340.921,37466.571434437894,0.0
737579,0.8,Optimal,True,0.13,10157320.0,283.215,35864.343343396366,513.8
737579,0.9,Optimal,True,0.16,10777793.0,301.777,35714.4282036073,513.8
737579,0.95,Optimal,True,0.19,11342113.0,311.101,36457.97666995606,513.8
737579,1.0,Not Solved,False,120.05,,,,513.8
750647,0.8,Optimal,True,0.12,13366417.0,289.07,46239.37800532743,512.6
750647,0.9,Optimal,True,0.15,14771459.0,329.723,44799.60148366963,512.6
750647,0.95,Optimal,True,0.16,15586202.0,341.195,45681.21455472677,512.6
750647,1.0,Optimal,True,1.31,16397993.0,358.599,45727.9384493543,0.0
80120,0.8,Optimal,True,0.15,10566977.0,336.223,31428.477528307103,288.2
80120,0.9,Optimal,True,0.16,11938283.0,365.86,32630.741267151367,288.2
80120,0.95,Optimal,True,0.18,12493200.0,372.013,33582.69737885504,288.2
80120,1.0,Optimal,True,2.52,13148064.0,372.213,35324.03220736513,0.0
803466,0.8,Optimal,True,0.16,13285467.0,351.419,37805.20404417519,335.3
803466,0.9,Optimal,True,0.16,14904876.0,374.991,39747.28993495844,335.3
803466,0.95,Optimal,True,0.19,15661322.0,385.151,40662.810170556484,335.3
803466,1.0,Optimal,True,4.5,16485337.0,379.678,43419.25789748155,0.0
870215,0.8,Optimal,True,0.14,12908088.0,349.384,36945.2751127699,328.4
870215,0.9,Optimal,True,0.17,14415682.0,361.512,39876.08156852331,328.4
870215,0.95,Optimal,True,0.19,15214456.0,376.219,40440.42432731999,328.4
870215,1.0,Optimal,True,8.82,16014780.0,380.768,42059.154130599214,0.0
885219,0.8,Optimal,True,0.11,13740385.0,336.03,40890.35205190013,283.1
885219,0.9,Optimal,True,0.16,15552039.0,369.568,42081.671032123995,283.1
885219,0.95,Optimal,True,0.16,16331308.0,383.173,42621.238970386745,283.1
885219,1.0,Optimal,True,2.46,17152128.0,398.603,43030.60438581747,0.0
908270,0.8,Optimal,True,0.11,11304220.0,253.782,44543.03299682405,647.3
908270,0.9,Optimal,True,0.17,12445464.0,287.418,43300.920610400186,647.3
908270,0.95,Optimal,True,0.25,13124941.0,285.087,46038.37074296618,647.3
908270,1.0,Optimal,True,4.28,13814152.0,304.765,45327.225895362004,647.3
947906,0.8,Optimal,True,0.11,9716067.0,305.39,31815.27554929762,816.8
947906,0.9,Optimal,True,0.13,10759340.0,339.121,31727.141639709724,816.8
947906,0.95,Optimal,True,0.19,11365265.0,348.619,32600.81923245721,816.8
947906,1.0,Optimal,True,4.43,11951723.0,350.902,34060.0025078227,0.0
