seed,alpha,status,optimal,failed_stage,runtime_s,planned_cash,initial_realized_cash,recommended_revised_cash,final_realized_cash,final_vs_planned_ratio,max_LPS,mean_HHI,median_HHI,n_active_crops,target_violations
321611,0.6,Optimal,True,,59.452799199993024,12871171.0,10211148.0,11422945.0,11274247.0,0.8759301698345862,0.4388,0.0973,0.0665,8,0
321611,1.0,Optimal,True,,52.42824360000668,12871171.0,10211148.0,11427218.0,11278520.0,0.8762621520606012,0.7203,0.1209,0.0642,8,0
331297,0.33,Optimal,True,,14.568975900008809,14555507.0,11681842.0,13915169.0,13234999.0,0.9092777736976115,0.3258,0.0921,0.057,8,0
331297,0.4,Optimal,True,,15.229219800006831,14555507.0,11681842.0,13981819.0,13301649.0,0.9138567966062604,0.3664,0.0996,0.0555,8,0
331297,0.5,Optimal,True,,14.958757300017169,14555507.0,11681842.0,13983513.0,13303343.0,0.913973178673886,0.4744,0.1084,0.0558,8,0
331297,0.6,Optimal,True,,15.081296700023813,14555507.0,11681842.0,13985481.0,13305311.0,0.914108385231789,0.5003,0.113,0.0555,8,0
331297,1.0,Optimal,True,,14.479133999993792,14555507.0,11681842.0,13985481.0,13305311.0,0.914108385231789,0.5003,0.113,0.0555,8,0
385101,0.33,Optimal,True,,14.6958980000054,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,0.3179,0.0774,0.0665,7,0
385101,0.4,Optimal,True,,15.410113199992338,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,0.3179,0.0774,0.0665,7,0
385101,0.5,Optimal,True,,14.90557400000398,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,0.3179,0.0774,0.0665,7,0
385101,0.6,Optimal,True,,15.0208848999755,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,0.3179,0.0774,0.0665,7,0
385101,1.0,Optimal,True,,13.833481499983463,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,0.3179,0.0774,0.0665,7,0
449132,0.33,Optimal,True,,14.245199900004081,12906260.0,10000947.0,11207388.0,11070413.0,0.8577553063397142,0.3298,0.1052,0.101,8,0
449132,0.4,Optimal,True,,14.444832600012887,12906260.0,10000947.0,11260117.0,11132527.0,0.8625680096325349,0.3667,0.1121,0.101,8,0
449132,0.5,Optimal,True,,14.43922780000139,12906260.0,10000947.0,11279572.0,11147025.0,0.8636913404812858,0.4475,0.1232,0.101,8,0
449132,0.6,Optimal,True,,14.444378799991682,12906260.0,10000947.0,11279572.0,11147025.0,0.8636913404812858,0.4475,0.1232,0.101,8,0
449132,1.0,Optimal,True,,13.777453599992441,12906260.0,10000947.0,11279572.0,11147025.0,0.8636913404812858,0.4475,0.1232,0.101,8,0
496928,0.33,Infeasible,False,proposed.reopt_phase3,12.525314999977127,,,,,,,,,,
496928,0.4,Infeasible,False,proposed.reopt_phase3,11.639262899989262,,,,,,,,,,
496928,0.5,Infeasible,False,proposed.reopt_phase3,12.37168500002008,,,,,,,,,,
496928,0.6,Infeasible,False,proposed.reopt_phase3,12.71562560001621,,,,,,,,,,
496928,1.0,Infeasible,False,proposed.reopt_phase3,12.217557299998589,,,,,,,,,,
514942,0.33,Optimal,True,,13.074962499988033,13128152.0,10502129.0,11676355.0,11530878.0,0.8783321521566783,0.2329,0.0706,0.0598,7,0
514942,0.4,Optimal,True,,12.973244199994951,13128152.0,10502129.0,11676317.0,11530840.0,0.8783292576137144,0.2329,0.0706,0.0598,7,0
514942,0.5,Optimal,True,,12.779703500011237,13128152.0,10502129.0,11676317.0,11530840.0,0.8783292576137144,0.2329,0.0706,0.0598,7,0
514942,0.6,Optimal,True,,12.972766999999294,13128152.0,10502129.0,11676317.0,11530840.0,0.8783292576137144,0.2329,0.0706,0.0598,7,0
514942,1.0,Optimal,True,,12.560686200013151,13128152.0,10502129.0,11676317.0,11530840.0,0.8783292576137144,0.2329,0.0706,0.0598,7,0
52314,0.33,Optimal,True,,12.32390220000525,12922898.0,10495462.0,11556117.0,11138715.0,0.8619363087134171,0.3269,0.0927,0.0849,8,0
52314,0.4,Optimal,True,,26.931051699997624,12922898.0,10495462.0,11623246.0,11220156.0,0.8682383781099255,0.3885,0.1022,0.0819,8,0
52314,0.5,Optimal,True,,12.587111599976197,12922898.0,10495462.0,11800932.0,11404646.0,0.8825145876722079,0.4695,0.1201,0.081,8,0
52314,0.6,Optimal,True,,12.279348400013987,12922898.0,10495462.0,11800932.0,11404646.0,0.8825145876722079,0.4695,0.1201,0.081,8,0
52314,1.0,Optimal,True,,14.787886499980232,12922898.0,10495462.0,11800932.0,11404646.0,0.8825145876722079,0.4695,0.1201,0.081,8,0
57684,0.33,Optimal,True,,34.61700090000522,11768765.0,9892202.0,11552441.0,11429123.0,0.971140387287876,0.3081,0.0652,0.062,7,0
57684,0.4,Optimal,True,,13.069189900008496,11768765.0,9892202.0,11552441.0,11429123.0,0.971140387287876,0.3081,0.0652,0.062,7,0
57684,0.5,Optimal,True,,35.08354199997848,11768765.0,9892202.0,11552441.0,11429123.0,0.971140387287876,0.3081,0.0652,0.062,7,0
