family,parameter,total_runs,optimal_runs,nonoptimal_runs,optimal_rate,optimal_rate_pct,wilson_95_ci_low,wilson_95_ci_high,wilson_95_ci_low_pct,wilson_95_ci_high_pct
PRIMARY,publication_config,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
UNCERTAINTY,U0,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
UNCERTAINTY,UW,30,27,3,0.9,90.0,0.7437891742081593,0.9654001112526658,74.37891742081592,96.54001112526657
UNCERTAINTY,UM,30,24,6,0.8,80.0,0.6269430358685175,0.9049489282271013,62.69430358685175,90.49489282271013
UNCERTAINTY,UR,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
UNCERTAINTY,UP,30,25,5,0.8333333333333334,83.33333333333333,0.6643564949358398,0.9266345762815145,66.43564949358398,92.66345762815145
UNCERTAINTY,UJ,30,25,5,0.8333333333333334,83.33333333333333,0.6643564949358398,0.9266345762815145,66.43564949358398,92.66345762815145
EPSILON_SENSITIVITY,epsilon=0.8,30,30,0,1.0,100.0,0.8864866068260312,0.9999999999999999,88.64866068260312,99.99999999999999
EPSILON_SENSITIVITY,epsilon=0.9,30,30,0,1.0,100.0,0.8864866068260312,0.9999999999999999,88.64866068260312,99.99999999999999
EPSILON_SENSITIVITY,epsilon=0.95,30,30,0,1.0,100.0,0.8864866068260312,0.9999999999999999,88.64866068260312,99.99999999999999
EPSILON_SENSITIVITY,epsilon=1.0,30,28,2,0.9333333333333333,93.33333333333333,0.7867654163738308,0.9815229762087295,78.67654163738308,98.15229762087296
LAMBDA_STABILITY,lambda=0.0,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
LAMBDA_STABILITY,lambda=0.05,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
LAMBDA_STABILITY,lambda=0.1,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
LAMBDA_STABILITY,lambda=0.25,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
LAMBDA_STABILITY,lambda=0.5,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
LAMBDA_STABILITY,lambda=1.0,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
ALPHA_CONCENTRATION,alpha=1.0,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
ALPHA_CONCENTRATION,alpha=0.6,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
ALPHA_CONCENTRATION,alpha=0.5,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
ALPHA_CONCENTRATION,alpha=0.4,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
ALPHA_CONCENTRATION,alpha=0.33,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
ACTION_ROBUSTNESS,PRIMARY,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
ACTION_ROBUSTNESS,S1,30,27,3,0.9,90.0,0.7437891742081593,0.9654001112526658,74.37891742081592,96.54001112526657
ACTION_ROBUSTNESS,S2,30,25,5,0.8333333333333334,83.33333333333333,0.6643564949358398,0.9266345762815145,66.43564949358398,92.66345762815145
SCALABILITY,n=25,30,2,28,0.06666666666666667,6.666666666666667,0.018477023791270378,0.2132345836261692,1.8477023791270377,21.323458362616922
SCALABILITY,n=50,30,4,26,0.13333333333333333,13.333333333333334,0.053096554840547455,0.296813266820363,5.309655484054746,29.681326682036303
SCALABILITY,n=100,30,10,20,0.3333333333333333,33.333333333333336,0.19230498083676134,0.5121994835545616,19.230498083676135,51.219948355456154
SCALABILITY,n=250,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
SCALABILITY,n=500,30,26,4,0.8666666666666667,86.66666666666667,0.703186733179637,0.9469034451594526,70.3186733179637,94.69034451594526
