seed,lambda,status,optimal,failed_stage,runtime_s,planned_cash,initial_realized_cash,recommended_revised_cash,final_realized_cash,final_vs_planned_ratio,changed_soft_area,soft_lock_area,disruption_rate
320290,0.25,Optimal,True,,13.35828980000224,13411971.0,11223008.0,12790095.0,12438523.0,0.927419467280387,0.1,107.2,0.0009328358208955224
320290,0.5,Optimal,True,,13.304278099996736,13411971.0,11223008.0,12790095.0,12438523.0,0.927419467280387,0.1,107.2,0.0009328358208955224
320290,1.0,Optimal,True,,13.213612699997611,13411971.0,11223008.0,12780948.0,12429376.0,0.9267374646127702,0.0,107.2,0.0
321611,0.0,Optimal,True,,51.928739099996164,12871171.0,10211148.0,11406694.0,11258555.0,0.8747110111426536,4.2,103.7,0.040501446480231434
321611,0.05,Optimal,True,,51.29858060000697,12871171.0,10211148.0,11405320.0,11256622.0,0.8745608305569089,2.1,103.7,0.020250723240115717
321611,0.1,Optimal,True,,51.07636030000867,12871171.0,10211148.0,11396380.0,11248415.0,0.8739232040348155,1.3,103.7,0.01253616200578592
321611,0.25,Optimal,True,,51.01635330001591,12871171.0,10211148.0,11372575.0,11224610.0,0.8720737219636038,0.4,103.7,0.003857280617164899
321611,0.5,Optimal,True,,52.36354510000092,12871171.0,10211148.0,11366949.0,11227532.0,0.8723007409349157,0.2,103.7,0.0019286403085824494
321611,1.0,Optimal,True,,51.62557450000895,12871171.0,10211148.0,11349514.0,11210097.0,0.8709461633288844,0.1,103.7,0.0009643201542912247
331297,0.0,Optimal,True,,16.094080900016706,14555507.0,11681842.0,13988882.0,13308712.0,0.9143420424997907,4.7,87.7,0.053591790193842644
331297,0.05,Optimal,True,,15.229219800006831,14555507.0,11681842.0,13981819.0,13301649.0,0.9138567966062604,2.7,87.7,0.03078677309007982
331297,0.1,Optimal,True,,15.031715000019176,14555507.0,11681842.0,13981819.0,13301649.0,0.9138567966062604,2.7,87.7,0.03078677309007982
331297,0.25,Optimal,True,,14.625763999996707,14555507.0,11681842.0,13916737.0,13277982.0,0.9122308140829447,0.3,87.7,0.003420752565564424
331297,0.5,Optimal,True,,14.901607699983288,14555507.0,11681842.0,13905478.0,13266723.0,0.9114572924186014,0.1,87.7,0.0011402508551881414
331297,1.0,Optimal,True,,14.782570500014117,14555507.0,11681842.0,13895493.0,13264398.0,0.9112975590613229,0.0,87.7,0.0
