seed,profile,status,optimal,failed_stage,runtime_s,planned_cash,initial_realized_cash,recommended_revised_cash,final_realized_cash,final_vs_planned_ratio,consent_coverage_final,renewed_prompts,withdrawn_farmers,accept_count,reject_count,modify_count,no_response_count,withdraw_count
514942,S2,Optimal,True,,13.396641400002409,13128152.0,12332386.0,12894263.0,12866717.0,0.9800859252696038,1.0,36,8,381,6,6,4,9
52314,PRIMARY,Optimal,True,,26.931051699997624,12922898.0,10495462.0,11623246.0,11220156.0,0.8682383781099255,1.0,65,9,346,31,25,11,12
52314,S1,Optimal,True,,12.849419700010912,12922898.0,7978704.0,10710576.0,9962153.0,0.7708915600819568,1.0,114,9,273,57,52,31,12
52314,S2,Optimal,True,,15.151995499996701,12922898.0,12235404.0,12507014.0,12492893.0,0.9667253428758782,1.0,31,9,390,9,8,6,12
57684,PRIMARY,Optimal,True,,13.069189900008496,11768765.0,9892202.0,11552441.0,11429123.0,0.971140387287876,1.0,58,3,329,26,15,15,4
57684,S1,Optimal,True,,35.915222399984486,11768765.0,8734799.0,11058764.0,10409356.0,0.8844900888071093,1.0,89,3,277,48,38,22,4
57684,S2,Optimal,True,,35.24296879998292,11768765.0,10935739.0,11714784.0,11669410.0,0.9915577377915185,1.0,31,3,365,9,6,5,4
621609,PRIMARY,Infeasible,False,proposed.reopt_phase3,11.882910700020147,,,,,,,,,,,,,
621609,S1,Infeasible,False,proposed.reopt_phase3,11.569296899979236,,,,,,,,,,,,,
621609,S2,Infeasible,False,proposed.reopt_phase3,11.879009199998109,,,,,,,,,,,,,
627177,PRIMARY,Infeasible,False,proposed.reopt_phase3,10.635544499993557,,,,,,,,,,,,,
627177,S1,Optimal,True,,12.936863099981565,11355561.0,8368028.0,10016175.0,9630567.0,0.8480925777246937,1.0,96,1,259,49,42,18,1
627177,S2,Infeasible,False,proposed.reopt_phase3,10.573855099995853,,,,,,,,,,,,,
637394,PRIMARY,Optimal,True,,13.25480689998949,12885185.0,10076401.0,11198084.0,11140075.0,0.8645646143225728,1.0,64,4,302,30,19,9,4
637394,S1,Optimal,True,,13.46659150000778,12885185.0,8277259.0,10351044.0,9688621.0,0.7519194330543179,1.0,108,4,245,52,43,20,4
637394,S2,Optimal,True,,13.502866700000595,12885185.0,12217840.0,12680308.0,12675548.0,0.9837303849343257,1.0,37,4,340,11,7,2,4
651976,PRIMARY,Optimal,True,,15.00926319998689,14283115.0,12319403.0,13506608.0,13157811.0,0.921214384957343,1.0,78,4,320,30,21,23,6
651976,S1,Optimal,True,,14.34784909998416,14283115.0,10775461.0,12867656.0,12251182.0,0.8577388055756745,1.0,116,4,263,64,35,32,6
651976,S2,Optimal,True,,15.1105847999861,14283115.0,13680584.0,14264969.0,14156411.0,0.9911291059408259,1.0,46,4,368,10,6,10,6
65693,PRIMARY,Optimal,True,,34.59749159999774,11317399.0,9278817.0,10113404.0,10034080.0,0.8866065427224047,1.0,57,9,306,27,23,11,10
65693,S1,Optimal,True,,12.153658399998676,11317399.0,7826627.0,9134994.0,8649769.0,0.7642894802948982,1.0,90,9,246,55,43,23,10
65693,S2,Optimal,True,,11.67105229999288,11317399.0,10460973.0,10802674.0,10761682.0,0.9508971098394604,1.0,29,9,347,11,7,2,10
679242,PRIMARY,Optimal,True,,14.307575600018026,13159072.0,11127309.0,12079134.0,11787450.0,0.8957660540196147,1.0,54,5,333,28,17,10,5
679242,S1,Optimal,True,,14.412869499996305,13159072.0,9425398.0,11250419.0,10720595.0,0.8146923278480428,1.0,95,5,275,54,39,20,5
679242,S2,Optimal,True,,13.96429099998204,13159072.0,12017388.0,12596347.0,12574484.0,0.9555752867679423,1.0,29,5,371,9,6,2,5
720982,PRIMARY,Optimal,True,,13.56530760001624,12139025.0,10811387.0,11655565.0,11505011.0,0.9477705993685654,1.0,55,1,351,27,11,12,2
720982,S1,Optimal,True,,13.483391100016888,12139025.0,8759389.0,10977395.0,10340461.0,0.8518362059555854,1.0,103,1,290,51,31,29,2
720982,S2,Optimal,True,,14.677970400021877,12139025.0,11594224.0,11894917.0,11797244.0,0.9718444438494854,1.0,33,1,384,9,1,7,2
737579,PRIMARY,Optimal,True,,18.96871950000059,11342113.0,9367886.0,10200172.0,9866936.0,0.8699380794389899,1.0,62,4,337,24,25,11,4
737579,S1,Optimal,True,,19.018593700020574,11342113.0,6894138.0,8896328.0,8151335.0,0.7186786976994498,1.0,113,4,270,48,49,30,4
737579,S2,Optimal,True,,19.066965600010008,11342113.0,10854352.0,10996835.0,10996835.0,0.9695578769141164,1.0,30,4,379,6,9,3,4
750647,PRIMARY,Optimal,True,,13.769938199984608,15586202.0,12797649.0,14603372.0,14341497.0,0.9201405833185018,1.0,64,2,314,18,25,10,2
750647,S1,Optimal,True,,13.734725299989805,15586202.0,10017096.0,13150899.0,12062835.0,0.7739431966812698,1.0,105,2,259,35,48,25,2
750647,S2,Optimal,True,,13.924544899986358,15586202.0,14672986.0,15466766.0,15416003.0,0.9890801492242947,1.0,37,2,350,6,9,2,2
80120,PRIMARY,Optimal,True,,12.463165199995274,12493200.0,10522767.0,11656865.0,11486150.0,0.9193921493292351,1.0,55,3,331,22,21,7,4
80120,S1,Optimal,True,,13.555426000006264,12493200.0,8067464.0,10453906.0,10013542.0,0.8015193865462812,1.0,95,3,275,47,38,21,4
80120,S2,Optimal,True,,13.796821299998555,12493200.0,11556041.0,11951265.0,11941878.0,0.9558702334069734,1.0,30,3,360,10,6,5,4
803466,PRIMARY,Optimal,True,,15.627511700004106,15661322.0,12318682.0,13853897.0,13812434.0,0.8819455982068436,1.0,65,6,322,39,19,11,10
803466,S1,Optimal,True,,14.664958399982424,15661322.0,10540232.0,12943753.0,12546632.0,0.8011221530340797,1.0,104,6,272,59,39,21,10
803466,S2,Optimal,True,,15.28415120000136,15661322.0,14148236.0,15047125.0,15047125.0,0.9607825571813159,1.0,37,6,366,14,6,5,10
870215,PRIMARY,Optimal,True,,13.324357799981954,15214456.0,12559908.0,14036264.0,13952455.0,0.9170525058536434,1.0,58,2,343,34,20,13,5
870215,S1,Optimal,True,,14.44326140001067,15214456.0,9900727.0,13147631.0,11929701.0,0.7841030267529776,1.0,109,2,278,67,34,31,5
870215,S2,Optimal,True,,15.235193900007289,15214456.0,14036023.0,14781606.0,14755844.0,0.9698568256400361,1.0,34,2,388,12,7,3,5
885219,PRIMARY,Optimal,True,,14.309150699991733,16331308.0,11927901.0,14102694.0,13932943.0,0.8531431162770305,1.0,68,5,339,32,22,12,6
885219,S1,Optimal,True,,14.42182230000617,16331308.0,10113630.0,13326629.0,12713132.0,0.7784515484001648,1.0,101,5,280,56,34,35,6
885219,S2,Optimal,True,,14.057562800007872,16331308.0,14471769.0,15707026.0,15696325.0,0.9611186685108137,1.0,37,5,377,15,8,5,6
908270,PRIMARY,Optimal,True,,13.48327630001586,13124941.0,10847412.0,11591490.0,11462398.0,0.8733294877287449,1.0,55,4,290,26,15,10,5
908270,S1,Optimal,True,,13.608633199997712,13124941.0,7746720.0,10194652.0,9004277.0,0.6860432363086432,1.0,98,4,230,54,35,22,5
908270,S2,Optimal,True,,13.30635009999969,13124941.0,12236959.0,12644444.0,12631228.0,0.9623836023339076,1.0,34,4,323,8,4,6,5
947906,PRIMARY,Optimal,True,,18.51963789999718,11365265.0,9187238.0,10096135.0,10014854.0,0.8811808611589786,1.0,66,5,330,34,24,12,6
947906,S1,Optimal,True,,18.05190869999933,11365265.0,8479759.0,9774073.0,9496150.0,0.8355414501993574,1.0,94,5,282,53,48,17,6
947906,S2,Optimal,True,,18.970231499988586,11365265.0,10114378.0,10524127.0,10515394.0,0.9252220691730462,1.0,38,5,375,13,8,4,6
